r_profile_id,fund_id
6272322,13
10916741,13
6722862,13
6726049,13
6726182,13
6726457,13
6722861,13
6293463,13
6227946,13
9576,13
25789270,15
24727379,22
25734493,22
24727378,22
24727376,22
24727375,22
24727377,22
24300790,22
1057083,24
2712431,24
12454035,24
12453932,24
4923262,24
6296284,24
5716905,24
13513407,24
1154378,24
3552532,24
1562581,24
1562582,24
2026871,24
1685677,24
2982709,24
10018704,24
1544020,24
2558138,24
3663504,24
3663475,24
4007843,24
22264725,24
19584781,24
2547267,24
3663379,24
30110224,24
30110225,24
20652372,24
22501997,24
5094702,24
2852163,24
2854906,24
2854927,24
2852123,24
6289123,24
19937037,24
5723413,24
4328717,24
19937038,24
19937039,24
5781639,24
11871028,24
11870276,24
4376374,24
11865833,24
5814085,24
5814072,24
5814079,24
11862521,24
11863829,24
3663513,24
3663352,24
3929630,24
3929756,24
4497359,24
25677205,24
4559783,24
3928962,24
3663532,24
19584784,24
19584785,24
19584786,24
19584788,24
19584791,24
19584792,24
3663610,24
2969999,24
16305233,24
11933654,24
21832982,24
3663468,24
3964787,24
3663456,24
3663287,24
12454060,24
12454147,24
12454729,24
12454841,24
18731535,24
20023581,24
20023588,24
16053910,24
18665075,24
6782086,24
3663616,24
3663262,24
3663556,24
3663407,24
3663297,24
3663471,24
3663458,24
3663480,24
6566782,24
16782658,24
5839381,24
3663350,24
3663462,24
4361701,24
17604293,24
8493551,24
3588389,24
2834223,24
3943573,24
3943579,24
3943581,24
3943574,24
3943584,24
3943582,24
3943547,24
3943472,24
3663298,24
3663578,24
19584794,24
19584796,24
11867700,24
3663618,24
19926249,24
3663411,24
2746037,24
2236836,24
1790187,24
2053121,24
3406439,24
3432455,24
23730502,24
10018583,24
3663530,24
3663507,24
3663351,24
5857398,24
5857400,24
5857443,24
5857444,24
29823014,24
13513782,24
13513781,24
6280626,24
3663416,24
3928958,24
3928961,24
3663374,24
3663521,24
2855118,24
17352843,24
25151,24
2549495,24
3588555,24
3663651,24
18253979,24
2303877,24
2890584,24
2284838,24
25201909,24
25148926,24
3663481,24
6054177,24
15998,24
12454944,24
12454974,24
14471424,24
14480975,24
14479383,24
14482184,24
14471458,24
14478904,24
14471683,24
14472271,24
14472414,24
14471711,24
14471620,24
14471815,24
13800838,24
3663432,24
12445782,24
18222781,24
24759489,24
24759490,24
24759491,24
1352199,24
1401465,24
3663648,24
14731687,24
3663366,24
3663428,24
3663291,24
3663289,24
3930332,24
3930338,24
3930251,24
3928191,24
3067075,24
2855213,24
3663485,24
3663445,24
2972759,24
19926242,24
4380799,24
1263521,24
19835265,24
24282079,24
3663682,24
4858433,24
3663376,24
3663309,24
3663314,24
3663339,24
3928173,24
3928179,24
3663299,24
24224196,24
1066624,24
1328297,24
15673260,24
3663276,24
3663365,24
20116,24
3663591,24
4045889,24
4134278,24
2964333,24
2964320,24
25120482,24
25120485,24
25120487,24
22455738,24
22455739,24
30110226,24
30110227,24
4046675,24
6798918,24
3663582,24
3663386,24
19835280,24
3582208,24
3596891,24
3921930,24
3927789,24
3579485,24
3582871,24
18753941,24
3583153,24
